Année,Canton,Sexe,Moins de 15 ans,15-19 ans,20-24 ans,25-29 ans,30 ans ou plus,Total
2004.0,Vaud,Homme,0.0,999.0,786.0,356.0,144.0,2285.0
2004.0,Vaud,Femme,0.0,1200.0,953.0,368.0,158.0,2679.0
2004.0,Genève,Homme,0.0,952.0,638.0,208.0,99.0,1897.0
2004.0,Genève,Femme,2.0,1028.0,671.0,244.0,121.0,2066.0
2005.0,Vaud,Homme,0.0,820.0,620.0,408.0,132.0,1980.0
2005.0,Vaud,Femme,1.0,987.0,825.0,486.0,173.0,2472.0
2005.0,Genève,Homme,0.0,928.0,592.0,210.0,91.0,1821.0
2005.0,Genève,Femme,2.0,1027.0,674.0,227.0,137.0,2067.0
2006.0,Vaud,Homme,1.0,994.0,689.0,402.0,172.0,2258.0
2006.0,Vaud,Femme,0.0,1138.0,891.0,497.0,223.0,2749.0
2006.0,Genève,Homme,1.0,995.0,674.0,204.0,111.0,1985.0
2006.0,Genève,Femme,1.0,999.0,729.0,253.0,144.0,2126.0
2007.0,Vaud,Homme,4.0,1061.0,769.0,307.0,167.0,2308.0
2007.0,Vaud,Femme,0.0,1093.0,1027.0,358.0,221.0,2699.0
2007.0,Genève,Homme,1.0,994.0,645.0,175.0,109.0,1924.0
2007.0,Genève,Femme,2.0,1016.0,743.0,245.0,124.0,2130.0
2008.0,Vaud,Homme,1.0,1200.0,815.0,325.0,200.0,2541.0
2008.0,Vaud,Femme,0.0,1247.0,1045.0,394.0,234.0,2920.0
2008.0,Genève,Homme,2.0,979.0,694.0,131.0,79.0,1885.0
2008.0,Genève,Femme,1.0,991.0,775.0,192.0,105.0,2064.0
2009.0,Vaud,Homme,0.0,1067.0,951.0,359.0,197.0,2574.0
2009.0,Vaud,Femme,0.0,1175.0,1045.0,427.0,231.0,2878.0
2009.0,Genève,Homme,3.0,911.0,656.0,142.0,71.0,1783.0
2009.0,Genève,Femme,0.0,910.0,761.0,212.0,104.0,1987.0
2010.0,Vaud,Homme,1.0,1107.0,978.0,361.0,202.0,2649.0
2010.0,Vaud,Femme,1.0,1246.0,1110.0,446.0,242.0,3045.0
2010.0,Genève,Homme,0.0,886.0,662.0,178.0,80.0,1806.0
2010.0,Genève,Femme,0.0,921.0,751.0,215.0,97.0,1984.0
2011.0,Vaud,Homme,0.0,1097.0,965.0,388.0,189.0,2639.0
2011.0,Vaud,Femme,1.0,1186.0,1129.0,443.0,224.0,2983.0
2011.0,Genève,Homme,1.0,809.0,664.0,171.0,84.0,1729.0
2011.0,Genève,Femme,2.0,847.0,786.0,218.0,99.0,1952.0
2012.0,Vaud,Homme,1.0,1059.0,1004.0,405.0,180.0,2649.0
2012.0,Vaud,Femme,0.0,1145.0,1127.0,437.0,237.0,2946.0
2012.0,Genève,Homme,1.0,641.0,585.0,160.0,68.0,1455.0
2012.0,Genève,Femme,0.0,668.0,742.0,200.0,94.0,1704.0
2013.0,Vaud,Homme,0.0,1101.0,1069.0,430.0,213.0,2813.0
2013.0,Vaud,Femme,0.0,1291.0,1226.0,479.0,270.0,3266.0
2013.0,Genève,Homme,1.0,661.0,509.0,165.0,52.0,1388.0
2013.0,Genève,Femme,0.0,740.0,621.0,218.0,60.0,1639.0
2014.0,Vaud,Homme,1.0,1107.0,977.0,412.0,214.0,2711.0
2014.0,Vaud,Femme,0.0,1273.0,1145.0,487.0,267.0,3172.0
2014.0,Genève,Homme,1.0,674.0,569.0,207.0,58.0,1509.0
2014.0,Genève,Femme,2.0,755.0,625.0,250.0,62.0,1694.0
2015.0,Vaud,Homme,0.0,1146.0,956.0,476.0,270.0,2848.0
2015.0,Vaud,Femme,1.0,1368.0,1165.0,509.0,279.0,3322.0
2015.0,Genève,Homme,0.0,784.0,598.0,271.0,71.0,1724.0
2015.0,Genève,Femme,2.0,896.0,665.0,314.0,80.0,1957.0
2016.0,Vaud,Homme,0.0,998.0,890.0,477.0,221.0,2586.0
2016.0,Vaud,Femme,0.0,1129.0,1078.0,509.0,274.0,2990.0
2016.0,Genève,Homme,1.0,892.0,623.0,279.0,66.0,1861.0
2016.0,Genève,Femme,2.0,1028.0,717.0,326.0,90.0,2163.0
,,,,,,,,
